Authors, Year, Experiment, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC ,System,Short,Dynamic,System*Short
Bol,2015,1,56,59,Self,Long,Static,-0.086329993,-0.336783196,0.034838699,0.035299439,NA,NA,0,0.034932411,0.017434603,0,0,0,0
Broek,2014,1,41,43,Self,Short,Static,-0.117276485,0.284081515,0.047727926,0.048126429,NA,NA,0,0.04744769,0.023773422,0,1,0,0
Cheon,2014,01a,25,25,Self,Short,Dynamic,0.333297542,0.179803885,0.081118377,0.080323294,NA,NA,0,0.080599282,0.04014982,0,1,1,0
Cheon,2014,01b,22,24,System,Short,Dynamic,0.233759843,-0.035019196,0.087946011,0.087134542,NA,NA,0,0.087032021,0.043538755,1,1,1,1
Cheon,2011,1,60,52,Self,NA,Static,-0.355496165,NA,0.036609707,NA,-0.356151697,0.036463704,NA,NA,NA,0,-1,0,0
Chuang,2011,1,33,33,System,Short,Static,0.011741481,NA,0.060607105,NA,NA,NA,NA,NA,NA,1,1,0,1
Chung,2015,01a,27,25,System,Short,Dynamic,0.254848215,NA,0.077661533,NA,-0.204940218,0.077440888,NA,NA,NA,1,1,1,1
Chung,2015,01b,27,25,System,Short,Dynamic,-0.637662527,NA,0.080946782,NA,-0.30532995,0.077933445,NA,NA,NA,1,1,1,1
Chung,2015,01c,26,25,System,Short,Dynamic,0.212274279,NA,0.078903307,NA,-0.538979239,0.081309564,NA,NA,NA,1,1,1,1
Chung,2015,01d,26,25,System,Short,Dynamic,-0.251220494,NA,0.079080281,NA,-0.44100777,0.080368282,NA,NA,NA,1,1,1,1
Craig,2002,2,23,24,System,Short,Dynamic,0.970512203,0.941600351,0.095524642,0.094576962,NA,NA,0,0.094866645,0.045002411,1,1,1,1
Crooks,2012,1,73,62,Self,Short,Static,-0.419027403,NA,0.030481426,NA,0,0.029827662,NA,NA,NA,0,1,0,0
de Oliveira Neto,2015,1,45,46,Self,Long,Static,0.069003676,0.428163265,0.043987515,0.044968626,-0.399959498,0.044840296,0,0.044123334,0.022021584,0,0,0,0
Dunsworth,2007,1,17,17,Self,Short,Dynamic,0.171245541,0.036779028,0.118078309,0.118769854,0.070878897,0.117720938,0,0.117739621,0.058847155,0,1,1,0
Flores,2010,1,35,37,Self,Long,Static,-0.413486625,-0.225837881,0.056785756,0.055952641,NA,NA,0,0.056246479,0.02796112,0,0,0,0
Guan,2009,01a,21,16,Self,Long,Static,-0.311216103,NA,0.111427905,NA,NA,NA,NA,NA,NA,0,0,0,0
Guan,2009,01b,19,18,Self,Long,Static,-0.602008579,NA,0.113084625,NA,NA,NA,NA,NA,NA,0,0,0,0
