Authors, Year, Experiment, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC 
Bol,2015,01,56.000,59.000,0,0,0,-0.0863299930283588,-0.336783195609897,0.0348386991721082,0.0352994385336253,NA,NA,0,0.0349324108301264,0.0174346027075316
Broek,2014,01,41.000,43.000,0,1,0,-0.117276484861098,0.284081514542865,0.0477279255577212,0.0481264287303616,NA,NA,0,0.0474476899914309,0.0237734224978577
Cheon,2014,01a,25.000,25.000,0,1,1,0.333297542370902,0.179803884726247,0.0811183771010039,0.0803232943696265,NA,NA,0,0.08059928192888,0.04014982048222
Cheon,2014,01b,22.000,24.000,1,1,1,0.233759843122255,-0.0350191961787554,0.087946010647241,0.087134541948397,NA,NA,0,0.0870320208499455,0.0435387552124864
Cheon,2011,01,60.000,52.000,0,NA,0,-0.355496164657908,NA,0.0366097073293122,NA,-0.356151697339055,0.0364637038952817,NA,NA,NA
Chuang,2011,01,33.000,33.000,1,1,0,0.0117414806307897,NA,0.0606071050179349,NA,NA,NA,NA,NA,NA
Chung,2015,01a,27.000,25.000,1,1,1,0.254848214638231,NA,0.0776615333111167,NA,-0.204940217638662,0.0774408879294003,NA,NA,NA
Chung,2015,01b,27.000,25.000,1,1,1,-0.637662526771085,NA,0.0809467822105763,NA,-0.305329950229884,0.0779334445226849,NA,NA,NA
Chung,2015,01c,26.000,25.000,1,1,1,0.21227427872067,NA,0.0789033067890519,NA,-0.538979238622263,0.0813095641445368,NA,NA,NA
Chung,2015,01d,26.000,25.000,1,1,1,-0.251220493943268,NA,0.0790802809770002,NA,-0.441007770213026,0.0803682821222077,NA,NA,NA
Craig,2002,02,23.000,24.000,1,1,1,0.97051220346283,0.941600351391533,0.09552464156251,0.0945769618100686,NA,NA,0,0.0948666450192593,0.0450024112548148
Crooks,2012,01,73.000,62.000,0,1,0,-0.419027402627659,NA,0.0304814257042584,NA,0,0.0298276623950508,NA,NA,NA
de Oliveira Neto,2015,01,45.000,46.000,0,0,0,0.0690036762261352,0.428163264760462,0.0439875147852066,0.0449686261805781,-0.399959497929174,0.0448402955140584,0,0.0441233342818322,0.022021583570458
Dunsworth,2007,01,17.000,17.000,0,1,1,0.171245541356316,0.0367790283603277,0.118078309344624,0.118769853599486,0.0708788965522819,0.117720938499654,0,0.117739621244443,0.0588471553111107
Flores,2010,01,35.000,37.000,0,0,0,-0.413486625248049,-0.225837880788039,0.0567857555238654,0.0559526413512252,NA,NA,0,0.0562464787720848,0.0279611196930212
Guan,2009,01a,21.000,16.000,0,0,0,-0.31121610250635,NA,0.111427905219848,NA,NA,NA,NA,NA,NA
Guan,2009,01b,19.000,18.000,0,0,0,-0.602008578754357,NA,0.113084625433922,NA,NA,NA,NA,NA,NA
Guan,2009,01c,19.000,16.000,0,0,0,NA,NA,NA,NA,-0.223716014665993,0.11584656259334,NA,NA,NA
Guan,2009,01d,14.000,10.000,1,1,1,-0.509986074981287,NA,0.176847025525963,NA,NA,NA,NA,NA,NA
Gyselinck,2008,01,23.000,23.000,1,0,0,-0.108541362259451,NA,0.0870845785578384,NA,NA,NA,NA,NA,NA
