StudyId,Name,ID,PP,LVS,ToV,CGn,EGn,SRd,STd,SRv,STv,SRSTcov
3,1,30,0,0,0,56,59,-0.086,-0.337,0.035,0.035,0
4,1,31,0,1,0,41,43,-0.117,0.284,0.048,0.048,0
5,01a,32,0,1,1,25,25,0.333,0.18,0.081,0.08,0
5,01b,33,1,1,1,22,24,0.234,-0.035,0.088,0.087,0
6,1,34,0,NA,0,60,52,-0.355,NA,0.037,NA,NA
7,1,35,1,1,0,33,33,0.012,NA,0.061,NA,NA
8,01a,36,1,1,1,27,25,0.255,NA,0.078,NA,NA
8,01b,37,1,1,1,27,25,-0.638,NA,0.081,NA,NA
8,01c,38,1,1,1,26,25,0.212,NA,0.079,NA,NA
8,01d,39,1,1,1,26,25,-0.251,NA,0.079,NA,NA
10,2,40,1,1,1,23,24,0.971,0.942,0.096,0.095,0
11,1,41,0,1,0,73,62,-0.419,NA,0.03,NA,NA
12,1,42,0,0,0,45,46,0.069,0.428,0.044,0.045,0
14,1,43,0,1,1,17,17,0.171,0.037,0.118,0.119,0
15,1,44,0,0,0,35,37,-0.413,-0.226,0.057,0.056,0
16,01a,45,0,0,0,21,16,-0.311,NA,0.111,NA,NA
16,01b,46,0,0,0,19,18,-0.602,NA,0.113,NA,NA
16,01c,47,0,0,0,19,16,NA,NA,NA,NA,NA
16,01d,48,1,1,1,14,10,-0.51,NA,0.177,NA,NA
17,1,49,1,0,0,23,23,-0.109,NA,0.087,NA,NA
18,1,50,0,0,0,79,72,-0.668,NA,0.028,NA,NA
19,01a,51,0,0,1,24,25,-0.336,NA,0.083,NA,NA
19,01b,52,1,0,1,24,24,-0.09,NA,0.083,NA,NA
20,1,53,0,1,0,11,11,1.617,0.836,0.241,0.198,0
21,1,54,0,0,0,15,14,NA,0.59,NA,0.145,NA
22,01a,55,1,1,1,20,20,0.036,0.352,0.101,0.102,0
22,01b,56,1,1,0,20,20,0.408,0.601,0.103,0.105,0
23,2,57,1,1,1,21,21,-0.1,-0.26,0.095,0.096,0
24,1,58,0,1,0,26,26,NA,0.789,NA,0.083,NA
26,1,59,1,1,1,38,40,0.721,1.474,0.055,0.065,0
26,2,60,1,1,1,34,34,0.519,0.769,0.061,0.063,0
27,01a,61,1,0,1,12,14,-0.177,-0.517,0.155,0.16,0
27,01b,62,1,0,1,15,14,-0.448,1.753,0.142,0.191,0
27,2,63,1,0,1,52,55,-0.146,0.172,0.038,0.038,0
28,1,64,0,1,0,19,19,NA,NA,NA,NA,NA
29,01a,65,0,1,1,17,17,0.483,0.929,0.121,0.13,0
29,01b,66,0,1,1,13,13,0.851,-2.738,0.168,0.298,0
29,01c,67,0,1,1,14,13,1.103,2.603,0.171,0.274,0
29,02a,68,0,1,1,14,14,1.021,0.738,0.161,0.153,0
29,02b,69,0,1,1,10,11,0.695,2.15,0.202,0.301,0
33,01a,71,1,0,0,20,20,NA,NA,NA,NA,NA
33,01b,72,1,0,0,20,20,-0.214,NA,0.101,NA,NA
33,01c,73,1,0,0,20,20,-0.324,NA,0.101,NA,NA
35,1,74,1,0,0,26,26,0.901,NA,0.125,NA,NA
35,2,75,1,0,0,24,24,1.448,NA,0.126,NA,NA
36,1,76,1,1,1,60,60,0.203,-1.217,0.034,0.039,0
38,01a,77,1,1,1,15,15,0.368,-0.098,0.136,0.133,0
38,01b,78,1,1,1,15,15,0.448,0.566,0.137,0.139,0
38,01c,79,1,1,1,15,15,-0.176,0.6,0.134,0.139,0
38,2,80,0,1,1,15,16,0.353,0.154,0.131,0.13,0
39,01a,81,1,0,0,30,30,NA,0.447,NA,0.068,NA
39,01b,82,1,0,0,30,28,NA,0.417,NA,0.071,NA
40,1,83,1,0,0,24,24,-0.237,-0.22,0.086,0.084,0
42,1,84,1,0,1,20,20,-0.081,0.088,0.1,0.1,0
42,02a,85,1,0,1,21,21,0.197,0.379,0.096,0.097,0
42,02b,86,0,0,1,20,20,0.311,0.196,0.101,0.1,0
43,1,87,1,0,0,23,25,3.9,-1.6,0.262,0.11,0
44,1,88,0,0,0,17,17,0.317,0.822,0.119,0.128,0
44,2,89,1,0,0,40,38,0.593,0.176,0.054,0.052,0
45,1,90,0,NA,1,44,47,-0.179,NA,0.044,NA,NA
46,01a,91,1,0,0,29,28,0.367,0.316,0.072,0.071,0
46,01b,92,0,0,0,25,28,-0.205,0.086,0.076,0.076,0
47,01a,93,0,0,0,30,27,-0.821,-0.625,0.076,0.074,0
47,01b,94,0,1,0,26,28,-0.562,-0.344,0.077,0.075,0
48,1,95,1,0,0,10,10,0.108,1.104,0.203,0.237,0
48,2,96,1,0,0,11,11,1.477,1.253,0.242,0.218,0
48,3,97,1,0,0,12,12,0.051,0.586,0.169,0.177,0
49,1,98,0,1,0,41,43,-0.117,0.284,0.048,0.048,0
52,1,99,0,0,1,24,21,0.171,0.873,0.09,0.098,0
54,01a,100,0,1,0,10,10,NA,0.467,NA,0.206,NA
54,01b,101,0,1,0,10,10,NA,0.586,NA,0.211,NA
54,2,102,0,1,0,25,25,NA,0.263,NA,0.081,NA
56,04a,103,0,1,1,15,17,0.595,0.594,0.131,0.131,0
56,04b,104,0,1,1,16,16,1.05,1.574,0.142,0.164,0
56,05q,105,0,1,1,19,19,0.716,1.388,0.112,0.131,0
56,05b,106,0,1,1,21,20,0.593,1.697,0.102,0.133,0
