ExperimentID,ID,CGn,EGn,CGm,CGSD,EGm,EGSD,Type,d,Vd,SEd,Jdf,g,Vg,SEg
30,5,56,59,9.55,3.97,9.24,3.19,SR,-0.086329993,0.034838699,0.186651277,0.993348115,-0.085755736,0.034376755,0.185409694
30,6,56,59,10.5,4.08,9.29,3.06,ST,-0.336783196,0.035299439,0.187881448,0.993348115,-0.334542953,0.034831385,0.186631682
31,7,41,43,0.54,0.16,0.52,0.18,SR,-0.117276485,0.047727926,0.218467218,0.990825688,-0.116200554,0.046856201,0.216462932
31,8,41,43,0.47,0.16,0.52,0.19,ST,0.284081515,0.048126429,0.219377366,0.990825688,0.281475262,0.047247426,0.21736473
31,9,41,43,0.55,0.18,0.45,0.19,LR,-0.539987646,0.049381693,0.22221992,0.990825688,-0.535033631,0.048479763,0.220181205
31,10,41,43,0.51,0.17,0.44,0.17,LT,-0.411764706,0.048655285,0.22057943,0.990825688,-0.407987048,0.047766623,0.218555766
32,11,25,25,7.08,3.01,8.04,2.26,SR,0.360692037,0.081300987,0.28513328,0.984293194,0.355026717,0.078767087,0.280654747
32,12,25,25,5.12,3.3,6.24,3.99,SR,0.305903047,0.080935767,0.284492121,0.984293194,0.301098288,0.078413249,0.280023658
32,13,25,25,4.76,2.5,5.16,1.91,ST,0.179803885,0.080323294,0.283413645,0.984293194,0.17697974,0.077819866,0.278962122
33,14,22,24,5.09,1.8,5.29,2.63,SR,0.088027897,0.087205439,0.295305671,0.982857143,0.086518847,0.084241166,0.290243288
33,15,22,24,3.36,2.44,4.21,2.04,SR,0.379491789,0.088686582,0.297802925,0.982857143,0.372986216,0.085671962,0.292697732
33,16,22,24,3,2.56,2.92,2,ST,-0.035019196,0.087134542,0.295185606,0.982857143,-0.034418867,0.084172679,0.290125281
34,17,60,52,-66.23,52.81,-91.38,54.15,SR,-0.470661321,0.036886374,0.192058256,0.993166287,-0.467444957,0.036383955,0.190745785
34,18,60,52,8.87,3.06,7.52,3.44,SR,-0.416444932,0.036671661,0.191498462,0.993166287,-0.413599066,0.036172166,0.190189816
34,19,60,52,3.6,2.58,2.54,1.53,SR,-0.491268701,0.036974869,0.192288504,0.993166287,-0.487911511,0.036471244,0.190974459
34,20,60,52,10.47,4.21,10.29,4.03,SR,-0.043609705,0.035905926,0.189488591,0.993166287,-0.043311689,0.035416861,0.18819368
34,21,60,52,6.28,1.9,5.6,1.92,CL,-0.356151697,0.036463704,0.190954717,0.993166287,-0.353717859,0.035967042,0.189649787
35,22,33,33,16,2.54,16.03,2.57,SR,0.011741481,0.060607105,0.246185103,0.988235294,0.011603346,0.059189444,0.243288808
35,23,33,33,13.73,3.64,12.73,3.84,LR,-0.267284153,0.061147279,0.247279758,0.988235294,-0.264139634,0.059716983,0.244370585
36,24,27,25,4.04,1.16,4.48,2.18,SR,0.254848215,0.077661533,0.27867819,0.984924623,0.251006282,0.075337629,0.274477011
36,25,27,25,6.22,1.4,5.92,1.53,CL,-0.204940218,0.077440888,0.278282029,0.984924623,-0.201850667,0.075123587,0.274086823
37,26,27,25,5.19,1.78,4.12,1.56,SR,-0.637662527,0.080946782,0.28451148,0.984924623,-0.628049524,0.078524572,0.280222362
37,27,27,25,6.52,1.72,5.92,2.2,CL,-0.30532995,0.077933445,0.279165622,0.984924623,-0.300726986,0.075601404,0.274957095
38,28,26,25,3.42,1.21,3.8,2.24,SR,0.212274279,0.078903307,0.280897324,0.984615385,0.209008521,0.076494188,0.276575827
38,29,26,25,6.42,1.42,5.56,1.76,CL,-0.538979239,0.081309564,0.28514832,0.984615385,-0.53068725,0.078826976,0.280761422
39,30,26,25,4.58,1.72,4.12,1.94,SR,-0.251220494,0.079080281,0.281212164,0.984615385,-0.247355563,0.076665759,0.276885823
39,31,26,25,6.42,1.42,5.68,1.91,CL,-0.44100777,0.080368282,0.283493002,0.984615385,-0.434223035,0.077914434,0.279131571
40,32,23,24,1.7,1.43,3.46,1.61,SR,1.15435774,0.099320904,0.315152192,0.983240223,1.135010962,0.09601961,0.309870312
40,33,23,24,3.61,1.5,4.79,1.5,SR,0.786666667,0.091728379,0.302866933,0.983240223,0.773482309,0.08867945,0.297790951
40,34,23,24,0.96,0.71,1.83,1.09,ST,0.941600351,0.094576962,0.307533676,0.983240223,0.92581934,0.09143335,0.30237948
41,35,73,62,12.35,7.65,9.72,5.37,SR,-0.392461696,0.03039813,0.174350594,0.994350282,-0.390244398,0.030055618,0.173365563
41,36,73,62,3.89,2.64,2.83,1.95,SR,-0.45128778,0.030581961,0.174876989,0.994350282,-0.448738132,0.030237378,0.173888983
41,37,73,62,8.12,2.72,6.97,2.38,SR,-0.447531574,0.030569457,0.174841233,0.994350282,-0.445003147,0.030225015,0.17385343
41,38,73,62,-15.95,11.8,-20.39,11.22,SR,-0.38482856,0.030376155,0.174287564,0.994350282,-0.382654388,0.030033891,0.173302889
41,39,73,62,3.84,0.98,3.84,0.81,CL,0,0.029827662,0.172706868,0.994350282,0,0.029491579,0.171731123
42,40,45,46,3.84,0.81,3.89,0.63,SR,0.069003676,0.043987515,0.209732007,0.991549296,0.068420547,0.043247205,0.207959624
42,41,45,46,2.82,1.21,3.39,1.44,ST,0.428163265,0.044968626,0.212058073,0.991549296,0.424544984,0.044211804,0.210266033
42,42,45,46,3.42,0.72,3.13,0.73,CL,-0.399959498,0.044840296,0.211755273,0.991549296,-0.396579559,0.044085634,0.209965792
43,43,17,17,4.88,1.9,5.18,1.59,SR,0.171245541,0.118078309,0.343625245,0.976377953,0.167200371,0.112565694,0.335508114
43,44,17,17,5.41,1.5,5.94,1.89,ST,0.310635465,0.119066094,0.345059551,0.976377953,0.303297619,0.113507363,0.336908538
43,45,17,17,4.41,1.54,4,1.9,ST,-0.237077408,0.118473613,0.344199961,0.976377953,-0.231477154,0.112942543,0.336069253
43,46,17,17,13.71,7.67,14.24,7.28,SR,0.070878897,0.117720938,0.343104851,0.976377953,0.069204592,0.112225008,0.335000012
44,47,35,37,9.86,1.63,9.08,2.1,SR,-0.413486625,0.056785756,0.23829762,0.989247312,-0.409040533,0.055571122,0.23573528
44,48,35,37,4.91,1.87,4.49,1.85,ST,-0.225837881,0.055952641,0.236543107,0.989247312,-0.223409516,0.054755828,0.233999632
45,50,21,16,6.19,1.29,5.63,2.31,SR,-0.311216103,0.111427905,0.333808186,0.978417266,-0.304499208,0.106669972,0.326603693
46,51,19,18,6.79,1.93,5.72,1.6,SR,-0.602008579,0.113084625,0.336280575,0.978417266,-0.589015588,0.108255951,0.329022721
47,52,19,16,6.53,1.47,6.12,2.19,SR,-0.223716015,0.115846563,0.340362399,0.977099237,-0.218592747,0.110601368,0.33256784
48,53,14,10,6.483,2.05,5.445,2.014,SR,-0.509986075,0.176847026,0.420531837,0.965517241,-0.492400348,0.164860961,0.406030739
49,54,23,23,12,2.49,11.75,2.1,SR,-0.108541362,0.087084579,0.295100963,0.982857143,-0.106680653,0.084124414,0.29004209
50,55,79,72,3.76,2.77,2.65,2.25,SR,-0.437774695,0.027181708,0.164868761,0.994957983,-0.435567427,0.026908298,0.16403749
50,56,79,72,7.61,2.98,6.4,2.92,SR,-0.409952491,0.02710361,0.164631741,0.994957983,-0.407885504,0.026830986,0.163801665
50,57,79,72,-37.29,32.16,-87.67,60.1,SR,-1.059145298,0.030261649,0.173958757,0.994957983,-1.05380507,0.029957259,0.173081654
50,58,79,72,10.28,2.78,7.72,3.86,SR,-0.766812586,0.028494142,0.168802079,0.994957983,-0.762946304,0.02820753,0.167950976
50,59,79,72,6.46,1.82,6.26,1.94,CL,-0.106488463,0.026584666,0.163048047,0.994957983,-0.105951546,0.026317261,0.162225956
51,60,24,25,16.92,4.18,15.68,3.16,SR,-0.335633769,0.082816157,0.287777964,0.983957219,-0.33024927,0.080180268,0.283161206
51,61,24,25,16.08,3.12,14.4,3.28,LR,-0.524557243,0.084474425,0.290644843,0.983957219,-0.516141886,0.081785757,0.285982092
51,62,24,25,4.69,1.51,3.67,1.08,CL,-0.779693903,0.087869958,0.296428673,0.983957219,-0.767185444,0.085073217,0.291673133
52,63,24,24,15.33,4.59,14.96,3.52,SR,-0.090461438,0.083418576,0.288822741,0.983606557,-0.088978464,0.080705959,0.284087942
52,64,24,24,14.38,3.1,13.75,3.64,LR,-0.186346497,0.083695052,0.289300972,0.983606557,-0.183291637,0.080973445,0.284558333
52,65,24,24,3.45,1.2,4.02,0.95,CL,0.526683913,0.086222874,0.293637318,0.983606557,0.518049751,0.083419067,0.288823591
53,66,11,11,3.7,1.2,2.9,0.7,CL,-0.814378558,0.196891192,0.443724229,0.962025316,-0.78345279,0.182221362,0.426873942
53,67,11,11,2.1,1,3.8,1.1,SR,1.61721508,0.241258741,0.491180966,0.962025316,1.555801849,0.223283206,0.472528524
53,68,11,11,3.5,1.5,4.6,1.1,ST,0.836314513,0.197714136,0.444650577,0.962025316,0.804555734,0.182982991,0.427765112
54,69,15,14,3,1.1,2.1,1,CL,-0.854670066,0.150689392,0.388187316,0.971962617,-0.830707354,0.142357976,0.377303559
54,70,15,14,3.8,0.9,2.5,1.2,CL,-1.232056846,0.164267032,0.405298695,0.971962617,-1.197513196,0.155184926,0.393935181
54,71,15,14,5.8,1.9,7.1,1.4,ST,0.774749495,0.148444148,0.385284503,0.971962617,0.753027546,0.140236868,0.374482134
54,72,15,14,5.5,2.4,6.4,2,ST,0.406057125,0.140938038,0.375417152,0.971962617,0.394672345,0.133145761,0.364891437
55,73,20,20,4.44,1.878,4.61,1.878,CL,0.090521832,0.100102428,0.316389677,0.98013245,0.088723385,0.09616436,0.310103789
55,74,20,20,57.21,17.128,54.17,17.084,SR,-0.177715275,0.100394784,0.316851359,0.98013245,-0.174184507,0.096445215,0.310556299
55,75,20,20,40.69,17.307,45.02,17.262,SR,0.250513254,0.100784461,0.317465685,0.98013245,0.245536169,0.096819562,0.31115842
55,76,20,20,46,10.688,49.75,10.643,ST,0.351600174,0.101545284,0.318661707,0.98013245,0.34461474,0.097550454,0.31233068
56,77,20,20,5.33,1.878,5.37,1.878,CL,0.021299255,0.100005671,0.316236732,0.98013245,0.020876091,0.09607141,0.309953883
56,78,20,20,51.94,17.262,55.32,17.173,SR,0.196311236,0.100481726,0.316988527,0.98013245,0.192411013,0.096528737,0.310690742
56,79,20,20,35.5,17.441,46.29,17.352,SR,0.620237674,0.104808685,0.323741694,0.98013245,0.607915071,0.100685471,0.31730974
