ExperimentID, StudyID, Authors, Year, CGn, EGn, PP, LVS, ToV, SRd, STd, SRv, STv, CLd, CLv, SRSTcov, SRSTcov1, SRSTcovC 
Al-Abbasi (2012) 1-01,1,Al-Abbasi,2012,56,59,0,1,0,-0.086329993,-0.336783196,0.034838699,0.035299439,NA,NA,0,0.034932411,0.017434603
Broek (2014) 4-01,4,Broek,2014,41,43,0,1,0,-0.117276485,0.284081515,0.047727926,0.048126429,NA,NA,0,0.04744769,0.023773422
Cheon (2014) 5-01a,5,Cheon,2014,25,25,0,1,1,0.333235873,0.179803885,0.040558983,0.080323294,NA,NA,0,0.080599171,0.040149793
Cheon (2014) 5-01b,5,Cheon,2014,22,24,1,1,1,0.232532671,-0.035019196,0.043969887,0.087134542,NA,NA,0,0.087032488,0.043538872
Cheon (2011) 6-01,6,Cheon,2011,60,52,0,1,0,-0.353391237,NA,0.009151203,NA,-0.356151697,0.036463704,NA,NA,NA
Chuang (2011) 7-01,7,Chuang,2011,33,33,1,1,0,0.011741481,NA,0.060607105,NA,-0.36342524,0.061606651,NA,NA,NA
Chung (2015) 8-01a,8,Chung,2015,27,25,1,1,1,0.254848215,NA,0.077661533,NA,-0.204940218,0.077440888,NA,NA,NA
Chung (2015) 8-01b,8,Chung,2015,27,25,1,1,1,-0.637662527,NA,0.080946782,NA,-0.30532995,0.077933445,NA,NA,NA
Chung (2015) 8-01c,8,Chung,2015,26,25,1,1,1,0.212274279,NA,0.078903307,NA,-0.538979239,0.081309564,NA,NA,NA
Chung (2015) 8-01d,8,Chung,2015,26,25,1,1,1,-0.251220494,NA,0.079080281,NA,-0.44100777,0.080368282,NA,NA,NA
Craig (2002) 10-02,10,Craig,2002,23,24,1,1,1,0.963205964,0.941600351,0.047686887,0.094576962,NA,NA,0,0.094793458,0.044984115
Crooks (2012) 11-01,11,Crooks,2012,73,62,0,1,0,-0.418932541,NA,0.007620283,NA,0,0.029827662,NA,NA,NA
de Oliveira Neto (2015) 12-01,12,de Oliveira Neto,2015,45,46,0,0,0,0.069003676,0.428163265,0.043987515,0.044968626,-0.399959498,0.044840296,0,0.044123334,0.022021584
Dunsworth (2007) 14-01,14,Dunsworth,2007,17,17,0,1,1,0.120986162,0.036095965,0.058949677,0.059384557,NA,NA,0,0.117711222,0.058840056
Flores (2010) 15-01,15,Flores,2010,35,37,0,0,0,-0.413486625,-0.225837881,0.056785756,0.055952641,NA,NA,0,0.056246479,0.02796112
Guan (2009) 16-01a,16,Guan,2009,21,16,0,0,0,-0.311216103,NA,0.111427905,NA,NA,NA,NA,NA,NA
